machine_id,reading_no,hours_since_start,load,temperature,vibration_rms,shaft_speed_rpm,post_inspection_RUL_estimate_hours,remaining_life_hours
M01,0,0.0,56.431,35.62,1.1854,900.7,305.341,305.275
M01,1,4.7,58.254,34.822,1.1463,903.14,303.676,302.797
M01,2,9.401,57.786,35.544,1.246,907.03,295.961,296.389
M01,3,14.101,60.023,36.805,1.1804,917.77,293.434,291.293
M01,4,18.801,58.685,37.144,1.1952,910.6,286.454,286.568
M01,5,23.502,58.746,36.866,1.2207,924.43,280.609,281.275
M01,6,28.202,61.234,37.406,1.2726,922.91,278.919,278.241
M01,7,32.902,62.092,37.371,1.016,927.93,272.88,273.351
M01,8,37.603,61.374,38.387,1.0958,936.31,265.965,267.648
M01,9,42.303,62.548,38.713,1.314,930.26,263.113,263.461
M01,10,47.003,64.12,37.77,1.1136,924.97,257.708,258.627
M01,11,51.704,62.75,38.524,1.213,932.67,256.049,255.424
M01,12,56.404,63.317,38.442,1.2557,922.18,248.375,249.571
M01,13,61.104,61.282,38.648,1.3508,927.6,246.788,246.123
M01,14,65.804,61.074,37.255,1.1198,926.57,239.279,240.602
M01,15,70.505,62.309,39.994,1.3296,919.36,234.254,234.611
M01,16,75.205,59.129,37.86,1.2366,924.07,233.41,232.57
M01,17,79.905,61.259,37.843,1.3655,926.43,224.302,224.23
M01,18,84.606,60.169,38.597,1.6382,923.26,220.36,221.384
M01,19,89.306,59.391,38.973,1.5662,932.27,219.267,217.804
M01,20,94.006,56.869,37.099,1.4474,912.08,211.744,211.109
M01,21,98.707,54.37,38.275,1.5313,909.28,209.913,207.916
M01,22,103.407,57.286,38.634,1.2722,907.24,207.164,207.977
M01,23,108.107,54.379,38.046,1.7167,911.67,198.182,198.341
M01,24,112.808,51.417,38.688,1.6066,906.46,192.898,192.767
M01,25,117.508,52.966,37.18,1.5337,898.38,193.28,191.152
M01,26,122.208,54.891,38.847,1.8697,898.14,183.646,183.803
M01,27,126.909,51.219,36.644,1.7015,906.47,179.053,180.331
M01,28,131.609,55.082,39.077,1.8427,901.79,177.314,176.008
M01,29,136.309,50.59,38.968,1.9144,907.08,171.619,171.436
M01,30,141.01,48.267,37.168,2.1352,909.3,164.244,164.627
M01,31,145.71,48.491,37.079,2.017,886.98,164.008,164.013
M01,32,150.41,51.2,38.9,2.0861,903.65,154.883,156.933
M01,33,155.111,48.778,37.586,2.0086,881.13,153.378,152.462
M01,34,159.811,50.589,39.377,2.2,885.75,146.441,145.903
M01,35,164.511,50.402,38.737,2.2207,883.08,145.432,145.255
M01,36,169.212,51.193,40.537,2.6972,889.8,136.127,136.98
M01,37,173.912,48.497,39.358,2.4604,882.88,132.803,133.532
M01,38,178.612,47.644,37.901,2.3774,886.24,127.463,128.339
M01,39,183.312,49.031,37.807,2.8468,876.05,123.44,124.536
M01,40,188.013,59.043,41.971,2.6998,878.97,124.519,122.79
M01,41,192.713,53.495,40.133,2.9004,895.42,113.778,113.912
M01,42,197.413,54.312,40.39,2.9906,888.21,109.158,108.687
M01,43,202.114,55.937,41.324,3.0102,894.57,106.904,107.625
M01,44,206.814,56.286,41.916,3.315,910.16,101.175,101.938
M01,45,211.514,59.716,41.394,3.3708,897.39,96.079,95.152
M01,46,216.215,55.95,41.852,3.3501,893.59,92.567,92.859
M01,47,220.915,58.468,40.641,3.6483,900.81,87.143,87.38
M01,48,225.615,60.315,43.612,3.3803,898.96,84.884,83.157
M01,49,230.316,62.135,43.253,3.7761,901.75,75.614,75.948
M01,50,235.016,62.176,44.471,3.9347,920.72,77.3,75.556
M01,51,239.716,63.178,44.036,3.9587,906.99,70.612,69.622
M01,52,244.417,63.495,45.515,4.2733,910.3,64.374,62.553
M01,53,249.117,59.083,43.322,3.985,913.69,62.285,60.774
M01,54,253.817,61.009,43.459,4.2775,908.42,55.32,55.991
M02,0,0.0,52.356,36.922,0.8241,1028.36,266.919,268.501
M02,1,4.354,50.715,36.71,0.807,1054.14,267.094,266.026
M02,2,8.708,51.284,36.322,0.7814,1051.98,259.941,260.093
M02,3,13.062,53.617,38.422,0.9018,1043.73,255.508,256.251
M02,4,17.416,52.773,38.283,0.917,1061.21,251.232,250.375
M02,5,21.77,54.162,36.065,0.9108,1075.19,250.408,248.803
M02,6,26.124,53.875,36.81,0.7543,1068.98,241.185,242.786
M02,7,30.478,55.052,37.181,1.0078,1064.41,235.904,238.214
M02,8,34.832,53.639,38.131,1.0518,1065.37,236.179,235.419
M02,9,39.186,55.942,38.965,0.9886,1057.28,232.434,231.613
M02,10,43.54,56.106,39.703,1.0204,1061.72,224.618,226.611
M02,11,47.895,52.159,38.737,0.9338,1045.82,220.904,221.189
M02,12,52.249,57.241,40.711,1.0781,1075.44,219.455,219.363
M02,13,56.603,53.691,38.558,0.9716,1053.0,214.546,213.742
M02,14,60.957,51.815,38.707,0.9323,1067.69,213.381,213.512
M02,15,65.311,56.025,39.001,1.1106,1059.11,203.462,204.116
M02,16,69.665,53.276,40.169,1.1904,1065.69,203.094,203.437
M02,17,74.019,55.183,40.212,1.3612,1059.22,196.381,196.512
M02,18,78.373,56.264,40.386,1.2606,1077.05,196.259,195.182
M02,19,82.727,52.276,38.693,1.2969,1058.54,187.733,189.323
M02,20,87.081,48.573,40.093,1.2397,1053.17,184.52,183.414
M02,21,91.435,50.666,39.367,1.2916,1051.49,181.632,181.013
M02,22,95.789,51.244,41.576,1.3683,1043.37,178.102,177.879
M02,23,100.143,48.445,38.63,1.3433,1054.79,175.691,176.47
M02,24,104.497,45.722,38.506,1.514,1053.02,170.612,170.898
M02,25,108.851,46.006,38.174,1.2182,1052.69,164.875,166.866
M02,26,113.205,48.6,38.228,1.4762,1049.87,156.91,159.874
M02,27,117.559,50.028,40.3,1.5496,1043.72,155.673,157.234
M02,28,121.913,44.782,38.873,1.7023,1037.17,154.204,153.535
M02,29,126.267,45.866,38.364,1.5742,1048.61,150.217,148.881
M02,30,130.621,46.469,39.473,1.9244,1029.9,145.817,145.559
M02,31,134.975,42.64,38.711,1.673,1023.95,142.559,144.125
M02,32,139.329,42.106,37.774,1.523,1038.92,136.98,138.666
M02,33,143.684,43.619,38.933,1.9066,1026.79,132.606,132.403
M02,34,148.038,44.6,39.942,2.0735,1032.27,128.358,128.062
M02,35,152.392,43.196,38.26,1.9109,1023.54,127.315,128.559
M02,36,156.746,43.53,38.882,2.1716,1027.99,121.006,120.106
M02,37,161.1,43.764,39.771,2.2661,1019.72,117.032,118.48
M02,38,165.454,45.122,39.034,2.3459,1017.69,114.537,113.201
M02,39,169.808,44.7,39.233,2.0722,1028.04,110.814,111.107
M02,40,174.162,47.32,40.504,2.4134,1041.67,103.795,103.559
M02,41,178.516,44.199,38.98,2.7366,1028.54,102.235,103.516
M02,42,182.87,46.406,39.765,2.7339,1034.19,96.912,96.397
M02,43,187.224,50.833,43.018,2.782,1024.08,92.861,92.098
M02,44,191.578,45.768,41.449,2.7338,1035.06,88.145,89.569
M02,45,195.932,48.38,42.338,3.0741,1022.38,84.884,85.498
M02,46,200.286,49.948,42.183,3.1031,1034.96,83.409,82.938
M02,47,204.64,50.808,41.253,3.1363,1047.83,77.504,75.893
M02,48,208.994,51.571,43.147,3.2186,1023.79,76.259,76.449
M02,49,213.348,54.225,45.035,3.3639,1045.92,68.94,66.887
M02,50,217.702,52.995,42.827,3.6613,1043.07,64.912,64.748
M02,51,222.056,57.876,44.878,3.9843,1045.31,60.423,59.836
M02,52,226.41,52.851,44.207,3.9556,1050.59,55.141,56.833
M02,53,230.764,53.081,43.337,3.9371,1048.84,50.644,52.26
M02,54,235.119,54.02,45.306,4.1515,1033.35,48.228,48.941
M03,0,0.0,40.136,33.388,0.7667,1209.07,178.675,179.154
M03,1,2.801,42.737,34.801,0.8097,1197.88,176.168,176.414
M03,2,5.603,36.074,30.966,0.6882,1197.4,172.99,173.954
M03,3,8.404,40.977,33.68,0.8201,1215.29,168.394,168.451
M03,4,11.205,40.179,34.09,0.9064,1201.36,169.343,168.695
M03,5,14.007,44.22,35.471,0.8982,1202.48,163.183,164.399
M03,6,16.808,44.793,36.006,0.8041,1209.89,160.501,159.373
M03,7,19.609,40.942,35.443,1.0757,1207.03,156.362,155.595
M03,8,22.411,42.106,36.038,0.9272,1219.47,154.416,154.604
M03,9,25.212,44.96,35.134,1.0548,1223.33,151.782,154.03
M03,10,28.013,47.201,37.228,0.7721,1209.88,153.344,152.413
M03,11,30.815,45.919,36.883,0.8831,1215.7,150.606,150.905
M03,12,33.616,48.922,37.367,1.219,1233.29,144.839,143.984
M03,13,36.417,45.527,37.758,1.1202,1229.03,144.401,143.764
M03,14,39.219,40.775,34.988,0.9507,1219.41,142.296,140.614
M03,15,42.02,46.649,37.702,1.2564,1220.18,140.197,139.994
M03,16,44.821,44.211,37.358,0.9878,1217.73,132.979,133.059
M03,17,47.623,44.599,37.451,1.1587,1216.16,134.491,134.694
M03,18,50.424,41.823,37.442,1.0369,1208.65,128.063,127.672
M03,19,53.225,41.127,37.87,1.3609,1220.9,123.952,123.913
M03,20,56.027,38.402,37.389,1.2665,1213.79,123.724,122.624
M03,21,58.828,37.244,35.965,1.2592,1206.39,120.413,120.991
M03,22,61.63,37.871,36.1,1.3131,1201.67,119.111,118.867
M03,23,64.431,35.745,35.047,1.4688,1200.48,114.079,116.196
M03,24,67.232,37.246,37.7,1.4101,1202.13,107.618,110.291
M03,25,70.034,39.509,36.721,1.3925,1190.37,110.082,110.976
M03,26,72.835,38.49,38.775,1.461,1211.6,107.226,107.191
M03,27,75.636,34.763,38.727,1.4919,1195.48,108.46,107.609
M03,28,78.438,36.283,37.696,1.5445,1189.15,101.247,101.215
M03,29,81.239,33.861,34.81,1.6529,1192.46,100.659,99.992
M03,30,84.04,30.539,35.133,1.6805,1187.16,96.231,95.4
M03,31,86.842,32.312,36.589,1.7667,1180.99,91.15,92.157
M03,32,89.643,33.072,36.546,1.5363,1168.79,92.334,92.555
M03,33,92.444,32.83,35.821,1.9843,1184.22,87.44,88.612
M03,34,95.246,33.527,35.139,1.9411,1191.12,82.721,84.425
M03,35,98.047,32.017,36.598,2.0448,1176.92,83.163,82.114
M03,36,100.848,31.709,37.212,1.9239,1183.34,79.75,79.647
M03,37,103.65,37.022,38.315,2.4761,1174.16,76.461,77.738
M03,38,106.451,32.208,37.725,2.2912,1173.06,74.74,75.362
M03,39,109.252,37.282,39.867,2.4093,1190.82,72.156,74.037
M03,40,112.054,33.92,37.964,2.3865,1180.84,71.259,69.377
M03,41,114.855,37.234,39.169,2.5865,1178.88,67.346,66.897
M03,42,117.656,40.504,39.198,2.7111,1184.36,66.11,66.198
M03,43,120.458,39.779,40.479,2.8428,1184.99,64.359,63.158
M03,44,123.259,38.19,40.155,2.4966,1187.64,55.832,59.48
M03,45,126.06,40.659,40.291,2.9511,1190.65,55.13,53.759
M03,46,128.862,45.077,43.439,3.2248,1188.88,53.047,52.916
M03,47,131.663,41.174,41.044,3.101,1190.84,48.695,49.437
M03,48,134.464,42.213,41.707,3.257,1191.21,50.242,49.625
M03,49,137.266,40.745,40.298,3.4289,1204.75,44.481,44.037
M03,50,140.067,40.37,41.655,3.5832,1200.23,44.162,43.53
M03,51,142.868,44.605,43.547,3.722,1198.47,39.506,38.027
M03,52,145.67,46.981,44.011,3.7603,1202.49,40.244,40.123
M03,53,148.471,46.296,43.166,3.8492,1205.29,35.559,34.925
M03,54,151.272,45.508,44.045,4.0126,1213.42,32.411,32.032
M04,0,0.0,53.78,34.317,0.9965,1311.72,198.37,197.96
M04,1,3.206,51.092,33.425,0.6622,1306.34,196.279,196.283
M04,2,6.412,58.52,35.984,0.9542,1313.33,193.387,193.915
M04,3,9.618,58.919,36.481,1.1214,1309.62,188.377,189.332
M04,4,12.824,59.096,35.379,0.9382,1317.16,187.245,187.783
M04,5,16.03,56.473,35.353,0.858,1321.96,184.233,184.124
M04,6,19.236,56.235,35.786,1.0226,1332.17,184.083,183.965
M04,7,22.443,59.195,37.495,1.0064,1333.74,177.308,177.952
M04,8,25.649,57.769,36.318,1.2348,1327.23,173.986,174.182
M04,9,28.855,59.753,37.349,1.0012,1312.06,170.908,169.589
M04,10,32.061,59.22,36.752,1.117,1337.22,172.895,172.462
M04,11,35.267,60.675,36.405,0.982,1323.11,165.982,165.329
M04,12,38.473,59.2,37.549,1.2538,1326.78,161.152,161.809
M04,13,41.679,63.368,39.603,1.3314,1330.69,162.181,161.051
M04,14,44.885,61.106,38.735,1.0893,1330.6,155.764,157.12
M04,15,48.091,62.106,38.496,1.461,1332.56,150.843,151.995
M04,16,51.297,59.189,37.717,1.4065,1325.58,150.166,149.814
M04,17,54.503,59.279,38.051,1.2283,1323.79,145.495,145.679
M04,18,57.709,61.235,37.207,1.3359,1321.53,142.85,143.745
M04,19,60.915,55.569,38.481,1.3154,1331.69,140.805,140.743
M04,20,64.121,55.96,35.833,1.5804,1318.76,136.179,138.181
M04,21,67.328,55.33,37.4,1.4783,1322.16,135.317,134.298
M04,22,70.534,54.814,37.147,1.4577,1322.09,134.344,133.646
M04,23,73.74,53.595,36.342,1.1838,1323.81,128.067,129.254
M04,24,76.946,52.246,36.598,1.4046,1297.52,127.988,125.531
M04,25,80.152,51.13,35.435,1.3675,1304.18,125.649,125.766
M04,26,83.358,51.033,37.417,1.5408,1291.79,118.921,118.555
M04,27,86.564,47.877,36.966,1.515,1308.97,117.655,117.665
M04,28,89.77,49.281,37.027,1.8134,1302.67,113.494,111.962
M04,29,92.976,48.888,38.57,1.9558,1303.46,111.298,112.526
M04,30,96.182,51.962,37.771,1.726,1286.86,107.033,106.612
M04,31,99.388,47.393,36.267,1.7835,1287.98,107.118,104.836
M04,32,102.594,50.287,37.332,1.9357,1287.71,99.772,102.424
M04,33,105.8,44.833,37.714,1.8795,1272.11,96.854,96.898
M04,34,109.006,49.339,38.285,1.9449,1295.12,98.617,97.889
M04,35,112.213,49.819,37.395,2.1371,1292.42,90.892,92.076
M04,36,115.419,49.655,38.805,2.2564,1280.87,90.676,90.058
M04,37,118.625,51.967,38.613,2.5043,1278.83,90.289,89.244
M04,38,121.831,49.104,37.252,2.3889,1272.31,84.973,84.006
M04,39,125.037,48.941,37.994,2.3439,1289.44,83.941,83.167
M04,40,128.243,54.701,40.457,2.7732,1283.72,78.617,77.821
M04,41,131.449,51.875,40.3,2.6273,1287.51,74.846,74.196
M04,42,134.655,55.851,41.255,2.7747,1301.18,72.121,72.745
M04,43,137.861,52.415,40.015,2.943,1303.95,70.071,68.877
M04,44,141.067,50.441,40.155,3.0886,1299.02,61.248,62.574
M04,45,144.273,59.33,42.082,3.2014,1301.12,62.388,62.783
M04,46,147.479,56.675,41.471,3.1716,1303.36,55.454,56.611
M04,47,150.685,57.068,42.778,3.4838,1282.15,55.094,55.345
M04,48,153.891,55.719,41.785,3.2518,1311.03,48.88,50.06
M04,49,157.098,57.045,43.807,3.5987,1306.84,51.772,51.975
M04,50,160.304,56.029,41.789,3.5622,1315.62,48.298,48.32
M04,51,163.51,59.968,42.368,3.962,1316.33,42.276,42.399
M04,52,166.716,56.163,42.767,3.9691,1302.46,43.256,42.844
M04,53,169.922,61.153,43.845,4.3012,1318.73,40.71,41.508
M04,54,173.128,61.273,46.158,4.0597,1311.55,36.675,36.349
M05,0,0.0,61.401,40.573,1.0529,1461.71,290.064,290.474
M05,1,4.576,57.673,40.789,0.8462,1467.8,284.236,284.616
M05,2,9.152,57.012,40.801,1.1976,1473.55,279.653,281.168
M05,3,13.728,60.878,41.536,1.0948,1452.46,278.008,277.452
M05,4,18.304,61.402,39.283,1.2582,1479.35,271.762,272.079
M05,5,22.879,58.001,39.925,1.229,1470.43,267.508,267.172
M05,6,27.455,60.767,42.129,1.0602,1483.43,259.78,261.651
M05,7,32.031,63.829,41.497,1.2317,1471.87,262.606,261.424
M05,8,36.607,62.626,43.109,1.1021,1470.87,254.006,253.75
M05,9,41.183,63.315,44.631,1.1405,1480.13,249.251,250.819
M05,10,45.759,66.25,44.586,1.5073,1470.14,248.309,247.338
M05,11,50.335,63.14,44.255,1.2776,1475.92,241.276,241.094
M05,12,54.911,65.162,44.497,1.3636,1485.3,235.02,235.291
M05,13,59.486,61.594,42.988,1.2961,1464.86,230.43,230.87
M05,14,64.062,60.536,43.304,1.223,1486.62,222.045,223.435
M05,15,68.638,62.331,44.655,1.5886,1479.38,225.326,225.632
M05,16,73.214,61.455,43.138,1.3386,1480.24,219.657,218.19
M05,17,77.79,66.099,45.167,1.6494,1475.71,215.477,214.514
M05,18,82.366,59.106,43.139,1.5133,1477.22,207.918,209.204
M05,19,86.942,57.207,43.66,1.4321,1457.71,203.843,203.856
M05,20,91.518,58.877,42.26,1.7448,1468.64,197.721,198.111
M05,21,96.093,59.321,43.761,1.4973,1472.36,200.444,199.666
M05,22,100.669,59.323,43.922,1.6054,1454.63,190.883,191.499
M05,23,105.245,55.468,41.928,1.5118,1454.67,188.607,188.285
M05,24,109.821,57.3,43.035,1.5772,1451.35,183.524,182.199
M05,25,114.397,54.651,42.833,1.3862,1462.3,182.023,180.025
M05,26,118.973,54.459,41.378,1.8016,1460.2,173.652,175.334
M05,27,123.549,52.209,40.946,1.6839,1463.85,169.788,171.056
M05,28,128.125,52.566,43.762,1.7948,1449.45,163.42,162.222
M05,29,132.701,48.252,41.957,1.8681,1453.62,162.678,161.696
M05,30,137.276,56.13,42.769,2.0714,1438.87,154.88,155.81
M05,31,141.852,51.293,42.693,1.9574,1451.31,156.801,155.438
M05,32,146.428,48.073,42.434,2.0643,1436.41,146.847,148.414
M05,33,151.004,50.411,42.447,1.9437,1438.41,142.559,143.288
M05,34,155.58,53.256,43.933,2.1315,1438.91,140.32,141.137
M05,35,160.156,49.941,43.273,2.1238,1434.03,134.595,133.865
M05,36,164.732,52.172,43.933,2.4217,1436.67,127.356,128.81
M05,37,169.308,52.593,44.473,2.1922,1446.28,126.092,124.903
M05,38,173.883,54.149,43.429,2.5138,1432.37,119.828,122.172
M05,39,178.459,51.686,43.004,2.3851,1434.6,119.248,119.421
M05,40,183.035,55.098,45.516,2.7678,1442.42,114.096,112.519
M05,41,187.611,54.985,44.326,2.9806,1448.72,107.305,107.617
M05,42,192.187,56.914,45.722,2.8417,1442.36,107.149,106.861
M05,43,196.763,56.65,46.617,2.9291,1442.84,102.965,100.051
M05,44,201.339,58.238,46.904,3.2476,1437.78,94.131,93.37
M05,45,205.915,58.829,48.303,2.9033,1454.8,93.779,93.404
M05,46,210.49,56.841,46.617,3.2826,1441.17,89.146,88.863
M05,47,215.066,56.552,46.538,3.3658,1457.83,83.007,84.478
M05,48,219.642,56.004,46.773,3.3065,1457.58,79.093,79.212
M05,49,224.218,61.159,49.309,3.5705,1449.27,76.353,75.817
M05,50,228.794,61.648,47.252,3.8544,1444.78,69.842,69.09
M05,51,233.37,67.406,51.836,3.9589,1451.01,66.658,65.467
M05,52,237.946,63.488,48.936,4.1081,1462.3,59.746,59.835
M05,53,242.522,63.607,48.435,4.2057,1468.28,55.076,54.088
M05,54,247.098,62.064,48.525,4.0747,1464.73,52.099,52.637
M06,0,0.0,40.562,29.498,0.6519,1584.64,238.553,238.143
M06,1,3.983,49.31,32.192,0.8461,1584.29,234.125,234.618
M06,2,7.965,40.747,30.448,0.9492,1602.54,232.16,231.9
M06,3,11.948,45.872,32.855,0.5116,1598.37,229.484,229.597
M06,4,15.931,47.205,33.48,0.7485,1600.61,221.574,222.912
M06,5,19.914,44.842,33.258,1.0155,1602.09,222.472,222.374
M06,6,23.896,47.184,33.216,0.8354,1609.91,215.733,215.764
M06,7,27.879,45.872,31.932,0.9337,1606.91,213.035,213.225
M06,8,31.862,49.389,34.607,1.0615,1609.41,207.376,208.688
M06,9,35.845,47.915,33.454,0.9104,1609.12,208.189,207.296
M06,10,39.827,48.408,35.107,0.8399,1609.42,202.128,201.499
M06,11,43.81,54.242,34.916,0.9857,1607.07,200.82,201.597
M06,12,47.793,47.531,33.304,0.9226,1607.23,195.301,194.459
M06,13,51.775,55.082,35.525,1.0675,1612.05,192.105,190.399
M06,14,55.758,49.757,34.197,1.0244,1604.6,191.289,189.826
M06,15,59.741,48.942,35.588,0.9031,1595.28,186.945,185.733
M06,16,63.724,45.054,32.755,1.1228,1616.29,182.546,182.554
M06,17,67.706,47.03,34.577,1.0297,1597.88,177.525,177.673
M06,18,71.689,46.059,34.528,1.1583,1610.94,172.379,172.788
M06,19,75.672,42.352,33.876,1.0885,1613.38,171.104,170.144
M06,20,79.654,41.443,34.006,1.1524,1609.85,162.985,163.447
M06,21,83.637,46.419,33.565,1.1782,1609.44,164.514,163.745
M06,22,87.62,44.988,35.656,1.3069,1596.29,162.511,160.952
M06,23,91.603,42.392,33.63,1.2892,1606.94,154.592,154.177
M06,24,95.585,42.184,35.709,1.2684,1600.27,151.83,152.731
M06,25,99.568,41.229,33.435,1.1848,1603.06,145.316,147.354
M06,26,103.551,38.219,33.241,1.448,1590.45,144.886,144.655
M06,27,107.534,41.115,34.603,1.3845,1594.87,141.572,140.529
M06,28,111.516,36.372,34.648,1.3222,1593.92,138.963,137.939
M06,29,115.499,38.968,34.107,1.6281,1584.73,134.391,134.156
M06,30,119.482,37.121,33.15,1.4288,1579.33,129.572,131.4
M06,31,123.464,41.565,35.986,1.499,1593.71,128.981,127.559
M06,32,127.447,37.969,33.775,1.7842,1564.49,122.35,122.15
M06,33,131.43,38.793,34.168,1.772,1587.24,114.709,116.865
M06,34,135.413,36.606,34.176,1.9284,1565.39,114.103,115.179
M06,35,139.395,40.096,36.178,1.9849,1581.64,109.957,111.118
M06,36,143.378,38.549,34.741,2.0931,1572.38,108.88,108.37
M06,37,147.361,32.832,33.391,1.6691,1585.29,106.547,105.521
M06,38,151.343,36.249,33.509,2.3109,1566.96,101.718,100.589
M06,39,155.326,37.403,36.198,2.1552,1571.29,98.086,97.354
M06,40,159.309,39.667,35.315,2.6084,1569.61,92.834,91.229
