test_id,wind_speed_m_s,yaw_angle_deg,ride_height_mm,rear_spoiler_deg,air_temp_c,air_density_kg_m3,drag_coefficient
WT001,20.0,-3.0,118,0,19.5,1.204,0.287
WT002,25.0,0.0,120,0,20.1,1.201,0.281
WT003,30.0,3.0,121,0,20.4,1.199,0.289
WT004,35.0,6.0,119,0,21.0,1.196,0.302
WT005,40.0,-6.0,122,0,21.4,1.193,0.305
WT006,45.0,0.0,120,0,22.0,1.190,0.283
WT007,50.0,3.0,117,0,22.3,1.188,0.291
WT008,55.0,-3.0,123,0,22.7,1.185,0.294
WT009,60.0,0.0,119,0,23.1,1.183,0.286
WT010,25.0,-6.0,120,5,19.8,1.203,0.319
WT011,30.0,0.0,121,5,20.2,1.200,0.300
WT012,35.0,,118,5,20.8,1.197,0.304
WT013,40.0,6.0,122,5,21.1,1.195,0.321
WT014,45.0,-3.0,124,5,21.6,1.192,0.311
WT015,50.0,3.0,119,5,22.1,1.189,0.309
WT016,55.0,0.0,121,5,22.5,1.187,0.302
WT017,60.0,-6.0,117,5,22.9,1.184,0.324
WT018,20.0,6.0,123,5,19.2,1.206,0.326
WT019,250.0,0.0,120,5,19.7,1.203,0.303
WT020,30.0,-3.0,105,10,20.3,1.200,0.338
WT021,35.0,0.0,105,10,20.6,1.198,0.330
WT021,35.0,0.0,105,10,20.6,1.198,0.330
WT022,40.0,3.0,106,10,21.0,1.196,0.340
WT023,45.0,6.0,104,10,21.5,1.193,0.353
WT024,50.0,-6.0,107,10,21.9,1.191,0.356
WT025,55.0,0.0,105,10,22.3,1.188,0.334
WT026,60.0,-3.0,103,10,22.7,1.186,0.344
WT027,25.0,3.0,,10,19.9,1.202,0.341
WT028,20.0,0.0,106,10,19.4,1.205,0.332
WT029,35.0,-6.0,140,15,20.5,1.199,0.389
WT030,40.0,0.0,142,15,20.9,1.196,0.367
WT031,45.0,3.0,139,15,21.3,1.194,0.376
WT032,50.0,-3.0,141,15,21.8,1.191,0.380
WT033,55.0,6.0,420,15,22.2,1.189,0.401
WT034,60.0,0.0,140,15,22.6,1.186,0.371
WT035,25.0,-6.0,143,15,19.8,1.202,0.395
WT036,30.0,3.0,138,15,20.1,1.201,0.378
WT037,20.0,0.0,141,15,19.3,1.206,0.369
WT038,40.0,-3.0,120,20,21.1,1.195,
WT039,45.0,0.0,118,20,21.4,1.193,0.404
WT040,50.0,3.0,122,20,21.9,1.190,0.416
WT041,55.0,-6.0,121,20,22.4,1.187,2.910
WT042,60.0,6.0,119,20,22.8,1.185,0.433
WT043,25.0,0.0,123,20,19.6,1.204,0.407
WT044,30.0,-3.0,117,20,20.0,-1.200,0.417
WT045,35.0,3.0,120,20,20.6,1.198,0.414
WT046,45.0,0.0,121,12,21.5,1.193,0.245
WT047,50.0,-3.0,119,12,21.9,1.190,0.354
WT048,55.0,3.0,122,12,22.4,1.187,0.359
